# Dimensionless graviational wave background energy density Omega_GW(f) 
#    1:f [Hz]                 2:Omega_GW(f)        
       2.137962089502e-02       1.455566399897e-16 
       2.187761623950e-02       1.533430397706e-16 
       2.238721138568e-02       1.615237011675e-16 
       2.290867652768e-02       1.701176074624e-16 
       2.344228815320e-02       1.791440621473e-16 
       2.398832919019e-02       1.886236088975e-16 
       2.454708915685e-02       1.985777043844e-16 
       2.511886431510e-02       2.090281647167e-16 
       2.570395782769e-02       2.199985897154e-16 
       2.630267991895e-02       2.315131423648e-16 
       2.691534803927e-02       2.435966171618e-16 
       2.754228703338e-02       2.562759019714e-16 
       2.818382931264e-02       2.695781988880e-16 
       2.884031503127e-02       2.835317033905e-16 
       2.951209226666e-02       2.981667870318e-16 
       3.019951720402e-02       3.135146704785e-16 
       3.090295432514e-02       3.296066556865e-16 
       3.162277660168e-02       3.464775010329e-16 
       3.235936569296e-02       3.641510463651e-16 
       3.311311214826e-02       3.826498191936e-16 
       3.388441561392e-02       4.020081257016e-16 
       3.467368504525e-02       4.222622837697e-16 
       3.548133892336e-02       4.434495182028e-16 
       3.630780547701e-02       4.656066017953e-16 
       3.715352290972e-02       4.887737153566e-16 
       3.801893963206e-02       5.129921942161e-16 
       3.890451449943e-02       5.383039959141e-16 
       3.981071705535e-02       5.647523104163e-16 
       4.073802778041e-02       5.923818797135e-16 
       4.168693834703e-02       6.212404626988e-16 
       4.265795188016e-02       6.513765041683e-16 
       4.365158322402e-02       6.828378354184e-16 
       4.466835921510e-02       7.156767993867e-16 
       4.570881896149e-02       7.499459721048e-16 
       4.677351412872e-02       7.856999051917e-16 
       4.786300923226e-02       8.229955696741e-16 
       4.897788193684e-02       8.618918844320e-16 
       5.011872336273e-02       9.024456839457e-16 
       5.128613839914e-02       9.446858155178e-16 
       5.248074602498e-02       9.886349569566e-16 
       5.370317963703e-02       1.034348438858e-15 
       5.495408738576e-02       1.081881212436e-15 
       5.623413251904e-02       1.131292229499e-15 
       5.754399373372e-02       1.182640184986e-15 
       5.888436553556e-02       1.235982539936e-15 
       6.025595860744e-02       1.291380112217e-15 
       6.165950018615e-02       1.348894877378e-15 
       6.309573444802e-02       1.408589078525e-15 
       6.456542290347e-02       1.470525906819e-15 
       6.606934480076e-02       1.534768900785e-15 
       6.760829753920e-02       1.601385748780e-15 
       6.918309709189e-02       1.670438945216e-15 
       7.079457843841e-02       1.741999361763e-15 
       7.244359600750e-02       1.816133531114e-15 
       7.413102413009e-02       1.892907399097e-15 
       7.585775750292e-02       1.972391627116e-15 
       7.762471166287e-02       2.054655726208e-15 
       7.943282347243e-02       2.139771377101e-15 
       8.128305161641e-02       2.227781204390e-15 
       8.317637711027e-02       2.318728453165e-15 
       8.511380382024e-02       2.412678055627e-15 
       8.709635899561e-02       2.509695463684e-15 
       8.912509381337e-02       2.609844050706e-15 
       9.120108393559e-02       2.713188768609e-15 
       9.332543007970e-02       2.819794646366e-15 
       9.549925860214e-02       2.929727183767e-15 
       9.772372209558e-02       3.043047349989e-15 
       1.000000000000e-01       3.159820214339e-15 
       1.023292992281e-01       3.280107918023e-15 
       1.047128548051e-01       3.403972328352e-15 
       1.071519305238e-01       3.531473454781e-15 
       1.096478196143e-01       3.662669596301e-15 
       1.122018454302e-01       3.797621889448e-15 
       1.148153621497e-01       3.936446705821e-15 
       1.174897554940e-01       4.079268022093e-15 
       1.202264434617e-01       4.226151801265e-15 
       1.230268770812e-01       4.377168171102e-15 
       1.258925411794e-01       4.532384037936e-15 
       1.288249551693e-01       4.691863560315e-15 
       1.318256738556e-01       4.855661101247e-15 
       1.348962882592e-01       5.023858756866e-15 
       1.380384264603e-01       5.196509632200e-15 
       1.412537544623e-01       5.373670528934e-15 
       1.445439770746e-01       5.555530292646e-15 
       1.479108388168e-01       5.742278592171e-15 
       1.513561248436e-01       5.934001201236e-15 
       1.548816618912e-01       6.130777624915e-15 
       1.584893192461e-01       6.332687168418e-15 
       1.621810097359e-01       6.539813812896e-15 
       1.659586907438e-01       6.752224723920e-15 
       1.698243652462e-01       6.970002059045e-15 
       1.737800828749e-01       7.193216200308e-15 
       1.778279410039e-01       7.421957607308e-15 
       1.819700858610e-01       7.656575704776e-15 
       1.862087136663e-01       7.897458165486e-15 
       1.905460717963e-01       8.144739803904e-15 
       1.949844599758e-01       8.398536483412e-15 
       1.995262314969e-01       8.658996588417e-15 
       2.041737944670e-01       8.926225340664e-15 
       2.089296130854e-01       9.200355299177e-15 
       2.137962089502e-01       9.481540101010e-15 
       2.187761623950e-01       9.769898781672e-15 
       2.238721138568e-01       1.006556482529e-14 
       2.290867652768e-01       1.036869293525e-14 
       2.344228815320e-01       1.067945678201e-14 
       2.398832919019e-01       1.099796809945e-14 
       2.454708915685e-01       1.132441304262e-14 
       2.511886431510e-01       1.165890953417e-14 
       2.570395782769e-01       1.200159587187e-14 
       2.630267991895e-01       1.235262684373e-14 
       2.691534803927e-01       1.271213439369e-14 
       2.754228703338e-01       1.308025473390e-14 
       2.818382931264e-01       1.345716660439e-14 
       2.884031503127e-01       1.384277742407e-14 
       2.951209226666e-01       1.423699816529e-14 
       3.019951720402e-01       1.463993398671e-14 
       3.090295432514e-01       1.505167388775e-14 
